Date,Author,Verified,Helpful,Title,Rating,Variation,Style
"Reviewed in the United States on March 4, 2023",alex d genereux,yes,yes,Heavy chewers make quick work of these,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 3, 2023",Castle-family,yes,-,Liked them! Wished it last longer,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 26, 2023",Amazon Customer,yes,-,Long lasting,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 26, 2023",fox_chicka,yes,-,Great dog chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 25, 2023",Julia M,-,-,Puppy loves them,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 24, 2023",dean j.,-,-,if this is cheese- we should build with them- hard as rock,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 23, 2023",MarsikVal,yes,-,DO NOT get this!,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 23, 2023",K S,yes,-,Not what I expected!,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 20, 2023",Andrea,-,-,Yummy but weak,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 18, 2023",Laurie Jenkins,yes,-,Gone in minutes,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 16, 2023",jennjewell,yes,-,Heavy chewers,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 15, 2023",Donna P.Donna P.,yes,yes,BEWARE !  RECEIVED DIFFERENT PRODUCT ! CHEW WAS CHANGED !! DANGEROUS !,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 8, 2023",Dan,yes,yes,lasted less than a day,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 7, 2023",amber armstrong,yes,yes,Had to make into Puffs,3,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 6, 2023",Slvrdrgn33,yes,-,Great for dogs that like to chew.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 5, 2023",Amazon CustomerAmazon Customer,yes,-,Dry/cracked??,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 4, 2023",Kan,yes,-,My shih-poo loves this Himalayan dog chew!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 3, 2023",June,-,-,My dog loves these,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 2, 2023",Outdoorsy,-,-,"Splintered this time, no product consistency",1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 1, 2023",MEMEMEMEMEME,yes,-,Freakin amazing,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 29, 2023",Trey,yes,-,Doesn’t last more than a day,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 26, 2023",MichelleMichelle,yes,yes,Dangerous,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 25, 2023",Caroline Allard,yes,-,Spoil your dogs!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 24, 2023",KDW,yes,-,Keeps My Dog Entertained,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 23, 2023",Alexandra,yes,yes,It didn't last 2 hours for my ladylike 30 pound border collie.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 22, 2023",Kilo,yes,-,Our pup loves them!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 22, 2023",Mel,-,-,Dogs love these!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 20, 2023",Mark Andre,yes,-,"Don't buy the imitation yak sticks, this is the original brand",5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 19, 2023",RT,yes,-,My dog hated it,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 19, 2023",Olivia,yes,-,The bone was broken,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 16, 2023",Kelian Borgonovo-Dufault,yes,-,Broken,1,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 14, 2023",Kelly long,yes,-,Not Recommended,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 14, 2023",D.M,yes,-,My dog is obsessed,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 14, 2023",Suzieshopper,-,-,I wuf dis,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 12, 2023",Amazon Customer,yes,yes,My dog loved it!!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 9, 2023",Jessica S.,yes,-,Other brands last longer.,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 7, 2023",EILEEN from NJ,yes,-,best weight to cost bone chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 6, 2023",Cain,yes,-,Agressive chewers may want to look elsewhere...,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 5, 2023",Matthew L Simpson,yes,yes,Dog keeps trying to get them,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 4, 2023",Heather,yes,-,"Great idea, still didn’t last as expected for puppies",2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 4, 2023",JenDiane,yes,yes,Didn’t last bling with our heavy chewer,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 4, 2023",Kindle Customer,-,-,My 5 year old beagle/hound mix broke his tooth down to the pulp on these.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 4, 2023",mossmouse,-,-,Fun Treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 3, 2023",Nicole M.,yes,-,Great for super chewer!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 1, 2023",2kidsn3dogs2kidsn3dogs,-,-,Compared two brands. Does not last nearly as long as the Chewmaster XL,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 1, 2023",Beanomly,-,-,Dog loved it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 30, 2022",V. Ferralez,yes,yes,Crazy chewier,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 30, 2022",Tammy,yes,-,Furr baby approved,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 28, 2022",patricia,-,-,My Granddogs Love,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 25, 2022",mom in Alpharetta,yes,-,Heavy chewers and this lasted *UPDATED*,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 25, 2022",Jm,-,-,great dog chews,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 18, 2022",P. Paulsen,yes,yes,This lasts forever and dog still enjoys it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 14, 2022",rescue lady,yes,yes,Perfect for teething pups!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 14, 2022",A. Shrestha,-,-,It broke into pieces on second day,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 13, 2022",Jessica RJessica R,yes,yes,Dogs are obsessed,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 13, 2022",John Smith,yes,-,Great chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 13, 2022",Mckinley,yes,yes,Himalayan Large Dog Chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 13, 2022",Sandra,yes,-,Pittie loved it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 8, 2022",Bruce,-,-,"Not a LARGE dog chew, small to medium dog",1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 6, 2022",Kindle Customer,-,-,Dogs liked it,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 5, 2022",V. Fischer,yes,yes,Excellent dog chew,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 27, 2022",WTB4Ever,yes,-,Long lasting,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 26, 2022",sararunfast,-,-,pretty small,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 22, 2022",Dino Vlachos,yes,-,My 5 mo. old Labrador retriever loves her; keeps her chewing needs satisfied and teeth clean,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 20, 2022",shanon,-,yes,ATTENTION* ALLERGIC REACTION! 😔 🐾,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 19, 2022",m123,yes,-,New favorite dog chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 17, 2022",L.W,yes,-,Do buy this brand !!!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 17, 2022",Sarah Grunden,yes,yes,Soooo worth the price,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 16, 2022",April Lynn,yes,yes,Hit or Miss for my Pup,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 15, 2022",M. Hunninghake,yes,yes,Our pups favorite chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 10, 2022",Jim,yes,-,Best thing for agressive chewers,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 9, 2022",Rebecca Dierig Butler,yes,yes,My dog likes them but...,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 8, 2022",Lindsey Stover,yes,yes,Crack for dogs,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 6, 2022",Marcus/Krystal,yes,yes,Aussie pups fav!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 5, 2022",Brian,yes,-,This Product Gave My Dog an Elegiac Reaction,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 4, 2022",Kaitlyn Corbin,yes,yes,Long lasting,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 1, 2022",1ShopperFl,yes,-,My dog loves these!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 31, 2022",GigiTerTer,yes,-,My dog tossed it in the air and broke it into pieces-that doesn't seem safe.,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 25, 2022",DotIowa,yes,-,"Lasted more than a week, kept new dog busy",5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 25, 2022",MAKS MATHER,yes,-,GOOD,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 21, 2022",Adreanna Lowery,yes,-,Dogs love,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 19, 2022",Polly Shima,yes,-,My dogs aren't fans,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 19, 2022",Amber ,yes,yes,Puppy chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 17, 2022",Brady N.Brady N.,yes,yes,Be weary,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 15, 2022",Patrick Bernard Gillen,yes,-,"Wonderful for all dogs, throw away when dog get it down to small piece to avoid choking.",5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 13, 2022",Tina1219Tina1219,yes,yes,Little pups love them!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 12, 2022",Felishia TraceyFelishia Tracey,yes,-,My boy loved it!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 12, 2022",Jesus Dickworth,yes,-,Bad !,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 12, 2022",Alexis Ginter,yes,yes,Arrived broken,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 9, 2022",Dawn,yes,yes,Himalayan dog chews,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 6, 2022",Megan,yes,-,Lasted a week!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 30, 2022",tberry,yes,-,Lots of chew time,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 29, 2022",Joanna C.,yes,yes,My dog loves these!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 25, 2022",Brittany GBrittany G,yes,yes,We’ve got a winner!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 24, 2022",Zak,yes,yes,BROKE my dogs TEETH,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 13, 2022",B Eiler,yes,yes,My dog didn't like this,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 7, 2022",P,yes,-,Works great.,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 5, 2022",MeganMegan,-,-,Last longer than anything else out there,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 4, 2022",E P,yes,yes,Check quality before giving to your dog,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 4, 2022",Vicky,yes,-,If Lola likes it…,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on September 2, 2022",LaurieLaurie,yes,-,Belle occupation tranquille après une chirurgie 😇,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 2, 2022",T. Hunter,yes,-,My dog won’t touch it.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 26, 2022",jmay13,yes,-,Keeps my pup occupied!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 22, 2022",Angi J TothAngi J Toth,yes,yes,Plastic inside,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 21, 2022",Amazon CustomerAmazon Customer,yes,yes,Product Differences,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 20, 2022",ulkaulka,yes,-,Inedible,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 19, 2022",Amazon Customer,yes,-,MADE MY DOG VERY SICK!!!!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 16, 2022",Sarah Elizabeth ❀,yes,yes,Not the same as what we purchased at retail store of the same brand,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 15, 2022",nadine forte,yes,-,Not worth the money,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 14, 2022",HazlEyez,-,-,My dog ate through this in one day in his crate,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 10, 2022",Breanna Marie Boucher,yes,yes,Wont buy again,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 10, 2022",DK,-,-,Chew,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 7, 2022",Erin,yes,yes,"My dogs love these, but….",2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 4, 2022",vanessa dapice,yes,-,Dog won’t touch it,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 3, 2022",Laurel McDevitt,yes,-,Lasted 45 minutes then gone,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 2, 2022",Ruth P,yes,-,Hmmm?,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 30, 2022",Minh T. Nguyen,yes,-,"My dog ate this, and kept throwing up",1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 27, 2022",Kit79,yes,-,All 5 Stars in the dog’s opinion!,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 26, 2022",Subha PakwanSubha Pakwan,yes,-,The chew started to break down within 2 days. It looked brittle when it was delivered.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 26, 2022",Michelle,yes,-,My dog is very picky. She did not like them.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 26, 2022",Jennifer To,yes,yes,Way too crumbly,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 26, 2022",Kindle Customer,yes,-,Mixed review,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 26, 2022",Kaleb,yes,-,I wish I found this sooner!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 24, 2022",Mike,yes,-,That this breaks very easily,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 24, 2022",Kathy,yes,yes,My crazy Boston Terrier loves it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 23, 2022",JennJenn,yes,yes,Not Recommended - Product Quality Varies,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 23, 2022",Rae,yes,yes,Pup loved it at first bite!,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 23, 2022",Megan Blake,-,-,Good in theory,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 22, 2022",Alissa R.,yes,yes,BONES BREAK! Not a good yak cheese!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 22, 2022",272formula,yes,-,Broke in half 5 minutes after he chewed. I had to throw it away because they were to small.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 22, 2022",Valerie SponselValerie Sponsel,-,-,Long lasting chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on July 21, 2022",SabrinaSabrina,yes,yes,"Bull terrier loved it, but it did not last",4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 21, 2022",Anthony Bator,yes,-,Needed for aggressive chewers,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 15, 2022",CandiceCandice,yes,yes,NOT long lasting,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 15, 2022",Noah Long,yes,-,Had better.,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 6, 2022",Cari,yes,-,Smells like car oil.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 1, 2022",Kranix,yes,-,Pup loves these but..,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 29, 2022",froggy,yes,yes,My dog loves these!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 27, 2022",SC,yes,yes,dog chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 20, 2022",Heather B.,yes,yes,Top-notch dog chew!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 18, 2022",Emily,yes,yes,Beware of broken teeth!,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 14, 2022","Piper, she's big but she's small.",yes,yes,Aggressive Chewer Approved,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 13, 2022",Amazon CustomerAmazon Customer,yes,-,Horrible quality!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 12, 2022",DWCDWC,yes,yes,Inconsistent,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on June 12, 2022",Amazon CustomerAmazon Customer,yes,-,"Mon chiot mordillait tout, en utilisant ceci nous avons pu canaliser son comportement",5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 12, 2022",Lucy,yes,-,Don't buy it! Broke in 3 pieces.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 12, 2022",Kathleen B.,yes,yes,These last quite a bit,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 11, 2022",Tim B,yes,-,My Boston Terrier is obsessed,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 7, 2022",Amazon Customer,yes,-,Longlasting and my dog LOVES it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 3, 2022",Jessica M CresciJessica M Cresci,yes,-,Not as hard as I thought…..,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 26, 2022",Pau Lina,yes,yes,Keeps my Pug distracted for hours!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 25, 2022",elittlefield20,yes,-,Love,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 25, 2022",Sue ,-,-,Our dog doesn't really like it.  Looks like it will last a long t,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 22, 2022",cali,yes,yes,He loved it! But cracked and made his gums bleed,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 13, 2022",Christy,yes,-,Long lasting but not my dogs favorite,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 7, 2022",Jazmin snipesJazmin snipes,yes,-,A long lasting healthy treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 22, 2022",Madelyn Sell,yes,-,Chew,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on April 21, 2022",Amazon Customer,yes,-,Possible choking hazard,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 19, 2022",Aline MoraesAline Moraes,yes,-,Broke in half,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
