Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on July 1, 2020",Victoria BakerVictoria Baker,yes,yes,Nice but...,The rubber inserts peeled off after 5 days of heavy use.,2,https://images-na.ssl-images-amazon.com/images/I/61BOFFJg8YL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1NPV47L0SFS0N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on June 5, 2019",realitybytezrealitybytez,yes,yes,not really very corrosion resistant.,"i bought a 2-pack of these scissors for my wife to use in the kitchen. we've had them for about 17 months. they are advertised as corrosion resistant, but they don't seem to put up much resistance. as you can see in the photos, the pivot screw is the primary source of rust, but the blades also have some corrosion that we are unable to clean off.",2,"https://images-na.ssl-images-amazon.com/images/I/611VJSdMcfL.jpg , https://images-na.ssl-images-amazon.com/images/I/61HmHjoGRIL.jpg",-,https://www.amazon.com/gp/customer-reviews/R12YT8237J01DG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in Australia on December 15, 2019",SWKSWK,yes,yes,Good blades but bad plastics,"The blades are sharp and they cut well, but the plastics used for the handles are of low quality. After less than 6 months of light usage cutting craft papers and clothes, one of the pair of scissors had begun to crack. The crack started from where the blade is mounted, and progressed through the loop of the handle. The inner ring of yellow rubber covered the crack, until the crack reached the top surface of the handle.",2,https://m.media-amazon.com/images/I/61HgjfDUteL.jpg,-,-,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on March 28, 2024",JPJP,yes,yes,Pointier than pictured,Much more stabby stabby than pictured.Kinda scawy.,5,https://m.media-amazon.com/images/I/61F4MKHJGBL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1PD4RNA43VGHD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 18, 2023",NarGuyNarGuy,yes,yes,Solid Cut,Over the years I have bought lots of scissors and have had mixed results on the quality. Some have had a flimsy feel to them and not given a consistent cut.  I have been very pleased with WestCott 2 pack of scissors.  They have a solid feel when you cut with them and the handles don't feel like they are bending when you make a cut. The blades are a bit shorter than some scissors which perhaps contributes to their solid feel.  I was satisfied with the price I paid given the quality of the scissors.  I am a general purpose scissor guy and will be using them primarily for paper crafts.,5,https://m.media-amazon.com/images/I/71oq9LkOl8L.jpg,-,https://www.amazon.com/gp/customer-reviews/RA6V0I5BBTRP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on April 29, 2021",PDXshibasPDXshibas,yes,yes,Everyday scissors!,Nice every day scissors. A bit stiff and good for general use.,5,https://images-na.ssl-images-amazon.com/images/I/B1xlJ+tl1WS.jpg,-,https://www.amazon.com/gp/customer-reviews/R1FSG6NIRBN24F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on June 17, 2024",JoAnn Bortles,yes,yes,Does not hold sharpness,"I had high hopes for these scissors. And they seemed pretty good,  at first. I've been using them to cut mostly paper. Have not abused them. Take good care of them. And less than a year of use they just began losing their sharpness. I am so disappointed. I'm an artist and I've owned lots of pairs of scissors over the years. Most do not hold up. I have a cheap pair of scissors from a well-known Scandinavian brand. I think they cost $4 for two of them. Now those scissors hold up through anything. But these ones man I am so disappointed. I don't recommend them I wish I could but I can't.",1,-,-,https://www.amazon.com/gp/customer-reviews/R3E0UJNAWQZMV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on November 22, 2023",DesertBloom,yes,yes,deceiving,These are deceptive. The tip is wide and thick. It isn't good for small cuts or details at all. Feels like dollar store scissors.,1,-,-,https://www.amazon.com/gp/customer-reviews/RGF6GDZQGDGV6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on November 14, 2023",Kindle Customer,yes,yes,Disappointing,"I teach a lot of textile based art classes. I bought these scissors because I was sick of sharpening my well used Westcott brand stainless steel scissors after every lesson. ‘Titanium blades don’t need sharpening’! is what I read, and let me tell you, that is a blatant lie. These are as dull as child scissors after just one class. Now idk if I can sharpen them, or I’m just stuck with ten pairs of dud scissors. I threw away the packaging thinking I’d never have to buy new scissors again. Very very disappointed in what I thought would be quality.",1,-,-,https://www.amazon.com/gp/customer-reviews/R1QCM4UU8O33IB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 15, 2023",Amazon Customer,yes,yes,Inferior quality,Very inferior quality. The package was unsealed. The screw to hold the scissors together was  plastic. And came apart easily. Would not recommend this product at all.,1,-,-,https://www.amazon.com/gp/customer-reviews/R21HW9B21NPKMH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on August 1, 2023",Kindle Customer,yes,yes,"Westscott 5"" scissors Titanium",Worst pair of scissors I've ever owned. Hardly used them and only for crafting. They are already dull and oddly enough are rusting. I do not recommend these for serious crafters.,1,-,-,https://www.amazon.com/gp/customer-reviews/RUF88936GSXJN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 30, 2023",S.e. K.,yes,yes,good for cutting paper only.  they do not close properly.,lousy scissors.  barely good enough to cut thin paper.  they do not close properly either.,1,-,-,https://www.amazon.com/gp/customer-reviews/RI1MMWKNALX0X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on May 1, 2023",Jessica A. Rosenthal,yes,yes,They break!,"I hate to complain because these are good scissors, but they break. I have had two pair break at the very same spot (right where they hinge). Sorry to say, but beware.",1,-,-,https://www.amazon.com/gp/customer-reviews/R2ND5ZPRLQYJ49/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on February 26, 2023",Sherelle Red Grimm,yes,yes,extremely sharp with no safety cap.,Be careful while using and carrying these small scissors because they are extremely sharp. I like them because they make cutting the yarn to change colors easier for me. I just wish the seller would include a safety cap on the blades because these scissors pierced through my bag and stabbed me in my thigh twice. That was terrifying but thankfully I didn’t need stitches.,1,-,-,https://www.amazon.com/gp/customer-reviews/R3K1YWW9P7D5WK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on September 6, 2022",KR,yes,yes,These scissors barely cut. Awful waste of money,"Terrible scissors. Barely cut paper let alone string, fabric etc. Worthless",1,-,-,https://www.amazon.com/gp/customer-reviews/R3Q1XLDK9FXJQD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on June 25, 2022",cpk,yes,yes,Fell apart at the hinge.,"These work fine until the day you pick them up and they fall apart at the hinge. No kidding, I put my fingers through the handles and they just come apart. I have gone through several pairs of these and it is the same thing, as if they have a time limit on them before they self destruct. I guess I'll go back to Fiskars.",1,-,-,https://www.amazon.com/gp/customer-reviews/RJLMCOO7X83KQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on March 16, 2022",QUEEN29,yes,yes,Okay,"Just be careful it’s extremely sharp, definitely uncomfortable using for long periods of time. Keep out of reach from children, pets, etc. They are extremely sharp.",1,-,-,https://www.amazon.com/gp/customer-reviews/RABLX4KA0SDFB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on February 24, 2022","Su, Ying Dan",yes,yes,Disappointing,The quality isn't as expected. It is not smooth and the grip is not soft at all.,1,-,-,https://www.amazon.com/gp/customer-reviews/R151RRE5XOX3I2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on January 15, 2022",SHEILA R,yes,yes,Won't cut thru butter,"I needed a sharp, scissor for my crafts.  There is simply no sharp edge to this one.  Not sure this will even cut thru butter.  Not worth the effort of returning, but warning others to not buy this product for your crafts.",1,-,-,https://www.amazon.com/gp/customer-reviews/R3U6T71F0BWB8I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on May 15, 2021",Rob C.,yes,yes,"Bought two pairs, both were horrible","I bought two pairs. Both pairs were never really sharp at all. Now both pairs have become loose at the pivot and they won't tighten with the screw. I haven't even used them for very much at all, and now they barely cut anything at all. I was only using them to cut fluffed up loose cotton (not fabric, just plain cotton). They never cut as cleanly as I would like, and the quality of the cut quickly degraded as the pivot loosened.",1,-,-,https://www.amazon.com/gp/customer-reviews/R3PF2ODLOL5PKH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on March 23, 2021",Christy Denaco,yes,yes,Absolutely awful... somehow.,"I don't know how scissors can be made this poorly? I mean, they look normal and by all accounts are just normal scissors. Both of these pairs broke within a few uses... Once was when I was using them, and the other time it was my girlfriend... Neither of us were doing something strenuous with the scissors. Just normal everyday use like cutting paper... The handles broke on both pairs in the same place, leaving just the one handle and an exposed metal blade...I don't know if this was somehow just a ""bad batch"" or what, but I know that it certainly was not user error...",1,-,-,https://www.amazon.com/gp/customer-reviews/ROT31PH5G6F6I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on March 14, 2021",CzChick,yes,yes,Not at all smooth,Very hard to use.  Seems like it needs oil first time i used it.  Not good for sewing at all.  Will use it for cutting paper.  Do not buy.  Go with a better brand.,1,-,-,https://www.amazon.com/gp/customer-reviews/R35YJCYRTF8DQF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on April 13, 2020",C. Lyons,yes,yes,Plastic hand cracked,The scissors work very well but after only 9 months the plastic handle cracked and broke off with just normal kitchen use.,2,-,-,https://www.amazon.com/gp/customer-reviews/R42BAZWL1U5TX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 2, 2019",Jeanne,yes,yes,Didn't last a year. Both scissors broke.,"These were good while the lasted. Bought the two pack in Jan. 2019, so not even a year ago. Where are they now? The trash. The first ones didn't survive more than a couple of months. The second just died last week. Both for the same reason. The piece that holds the blades together broke. They never got rusty, the only problem and it was a big one was they were poorly put together. It is a shame.",2,-,-,https://www.amazon.com/gp/customer-reviews/R17FX3NQZES3DJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on December 19, 2018",Jarhead,yes,yes,"Even when not flawed, they aren't great.","One pair had some sort of imperfection or knick in the blade that caused the scissors to catch and not cut smoothly. The other pair was okay, but still wasn't a great pair of scissors. My kids' little school fiskars work much better and so one actually been using those over these. I wouldn't recommend these.",2,-,-,https://www.amazon.com/gp/customer-reviews/R3SGCT94HM8PYM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on December 8, 2018",Nitza T.,yes,yes,Not as good as they look,Not sharp and hurt after a few minutes of use,2,-,-,https://www.amazon.com/gp/customer-reviews/R1IXU4ZIKDOHC1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on July 23, 2023",C. gibson,yes,yes,Not sharp,"I purchased this pair and a pair of the singer pro. Both were similarly priced. The Singer was substantially sharper and a better pair. The Westcott does fine on easy objects such as paper. Where it fails miserably is on slightly thicker things. I purchased to trim my cats fur knots.  The Westcott strugged horribly in this use case. If not for the Singer, i would have thought all small scissors were going to provide similar results as the Westcott but there is a clear difference and if you are looking for a strong, well made pair of scissors that have the capability to cut almost anything,, there are better options out there than this pair",3,-,-,https://www.amazon.com/gp/customer-reviews/R30AKXEYXDY6IF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on April 20, 2023",☆J8WELz☆,yes,yes,Sharp,"I bought this thinking it was a big one, lol. It's smaller like size of child's.Very sharp",4,-,-,https://www.amazon.com/gp/customer-reviews/R35E4MH9Q8UGMA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on April 10, 2023",Joe?,yes,yes,Scissors,"Yup, scissors, they're sharp. Don't run with them.",4,-,-,https://www.amazon.com/gp/customer-reviews/R38TZ3P9K2N8IV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on March 11, 2023",OhItsBri,yes,yes,"When I Snip, you Snip, we Snip","2-pack for the near the price of some single units. Lightweight, sharp alternative to Fiskars…build quality is good…interested to see how these hold up over time. Would recommend",4,-,-,https://www.amazon.com/gp/customer-reviews/R1VC8C7JYG25KJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on May 1, 2022",Paula Cantrell,yes,yes,"Good cutting edge, but handles break","Good product for the price, but the handles are not as sturdy as the blade. The plastic is molded to a short piece of the blade metal and the handle has come off the metal on 2 pairs. I have to be careful not to overdo use of the scissors due to that design issue. They are fine for lightweight work.",4,-,-,https://www.amazon.com/gp/customer-reviews/RHYF3EA64M1T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on July 22, 2024",killian,yes,yes,Does the job,"Our go to scissors and stays sharp. We keep scissors in multiple kitchen draws so there is always a pair available (need to work on that practice) and scissors are not lost.  These have aways performed well, can be sharpened and reasonably priced.  Recommend for ""everyday"" scissors.",5,-,-,https://www.amazon.com/gp/customer-reviews/R1HWXF9UD6CKG2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on May 3, 2024",Tina,yes,yes,Great little scissors,"Sharp, nice point, easy to grip and cut. Very accurate, good quality and value.",5,-,-,https://www.amazon.com/gp/customer-reviews/R1T14NH0X899T7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on April 22, 2024",KELLAR,yes,yes,Best small scissors for crafting,Excellent performance.  Cuts foam tape without leaving any residue or sticky particles. Great for scrapbooking papers amd sewing fabrics. Highly recommend item.,5,-,-,https://www.amazon.com/gp/customer-reviews/R1LDPECMGZF3H8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on October 21, 2020",arlene ,yes,yes,Not good for crafts or anything else!,These are miniature which that’s my fault for not paying attention to the size! I bought these to use with macrame and they are horrible I can’t cut through at all! What I’m working on requires unraveling the cord and brushing it out and then trimming and shaping! They are not sharp at all and I can’t even trim with them!,1,-,-,https://www.amazon.com/gp/customer-reviews/R22W439110ITK3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 13, 2017",S. B. Alonso,yes,yes,Not ambidextrous,"Well-made strong scissors but they are shaped only for right-handed users. You can get by but they are awkward and uncomfortable for a left-handed user. The photo (show the other side) and text should be updated to show that they are not ambidextrous. The package says ""designed in the USA, Made in China"" but almost all US designers know to consider the 15% of users that are left-handed. Really sad because they are otherwise well executed. We keep scissors in our stockroom for employees but they must be ambidextrous.",2,-,-,https://www.amazon.com/gp/customer-reviews/R35V6G6UH2POJ6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 21, 2017",TravisDaDrunk,yes,yes,Scissors are great but the grip is bad,"Scissors are great but the grip is bad, there is another model out that has a curvature that is more natural feeling, these are an alright replacement. Still suggest getting the ones that have a bend on the blade, not sure how to describe it, I'm not a scissor fanatic but love this manufacturer. They're super sharp and cut through your soul like a boss. The grip just sucks for this version, find the sewing version.",4,-,-,https://www.amazon.com/gp/customer-reviews/RM30KMHHYLECI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 21, 2023",Desert Poppy Desert Poppy ,yes,yes,"Broke, garbage...","Not very durable, handle broke with normal pressure",1,https://m.media-amazon.com/images/I/81RlaLZcoPL.jpg,-,https://www.amazon.com/gp/customer-reviews/R182ZOJGT2958D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on April 24, 2021",J. PorterJ. Porter,yes,yes,Cheap brittle plastic,These initially seemed like high quality scissors but one of the two pairs broke after three months of occasional light use. My second pair is slowly cracking to pieces after not even a year. Blades on these seem good but the plastic is extremely cheap and brittle. I only use these to cut open plastic bags so they are definitely not durable or well made. I’ve never had issues like this with other brands. Go with literally anything else.,1,https://images-na.ssl-images-amazon.com/images/I/C1mdcyvx1OS.jpg,-,https://www.amazon.com/gp/customer-reviews/R1E5R89PUYSYKG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 19, 2020",Kenneth CoganKenneth Cogan,yes,yes,Scissors Failed After Less Then a Months Use,This was part of a two set purchase.  About a month ago I started to use one of the set.  As you can see in the photo  the blades are showing signs of corrosion and the hinge has cracked and failed.  As luck would have it  I didn't start using the first scissor until after the return period expired.  I am going to start using its twin and maybe I'll get three weeks  use before it falls apart.  I would suggest checking other suppliers before placing an order.,1,https://images-na.ssl-images-amazon.com/images/I/61z6N+0t9OL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2G2C2522AE75W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on June 2, 2019",Chris LovettChris Lovett,yes,yes,"Cheap handles, used once and broke","With the reviews I expected a bit more out of these scissors.  By more I mean more than one cut, first time trying to use them and the plastic handle snapped.  They were only being used to cut a thin plastic bag.  I would not recommend these scissors unless they somehow make the handles more sturdy.",1,https://images-na.ssl-images-amazon.com/images/I/71-iy8GdqQL.jpg,-,https://www.amazon.com/gp/customer-reviews/R36TM1XVVYGVVJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on February 19, 2019",Chery and Hank FreemanChery and Hank Freeman,yes,yes,Terrible product,Absolutely terrible product the plastic breaks at pivot point. I have had two sets of two.. Both now in the trash.,1,https://images-na.ssl-images-amazon.com/images/I/71BAuCJ3ORL.jpg,-,https://www.amazon.com/gp/customer-reviews/RSS35AE3IJX5G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on April 10, 2018",SunbirdSunbird,yes,yes,Awful!,"What a waste of money.  Ordered these six months ago and only used a few times.  The first pair completely fell apart a couple of months ago, and now the plastic is cracked and falling off on the second pair.  What a disappointment.",1,https://images-na.ssl-images-amazon.com/images/I/7167lpH1mEL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2L3L8JSJ5X16O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on November 27, 2017",Rob QuartermainRob Quartermain,yes,yes,I would recommend,This was the second set I bought the first set was good and I wrote a good review you can see in the pic below .the second pic was the recent set pictured they were clearly opened a used there was glue and tape where they were opened.the scissors looked like they were used not happy.,1,"https://images-na.ssl-images-amazon.com/images/I/61+k5M831DL.jpg , https://images-na.ssl-images-amazon.com/images/I/71KFwg-2oLL.jpg",-,https://www.amazon.com/gp/customer-reviews/R2IG62AKEKZ059/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in Canada on August 14, 2019",Colin LeschertColin Leschert,yes,yes,Broken x2,Within a year both pairs are broken in the same place!,1,https://m.media-amazon.com/images/I/81Wmd7u3zZL.jpg,-,-,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on August 13, 2023",Kailey Kailey ,yes,yes,Not the best,I wish they were bigger,2,https://m.media-amazon.com/images/I/71mNJA7xeJL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1XUFZ3AQTZRTA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on October 29, 2022",Alicia HernandezAlicia Hernandez,yes,yes,Arrived broken,"Arrived quickly and shipped properly, but the handle is broken.  Because this is split at the seam of the plastic handle, it seems to be an issue in manufacturing.",2,https://m.media-amazon.com/images/I/71HHSxVyjpL.jpg,-,https://www.amazon.com/gp/customer-reviews/R30ZGIV3ZWXTQ0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on October 6, 2020",Julie Salerno LandspergerJulie Salerno Landsperger,yes,yes,Fragile scissors,"Tip of the scissors fractured on the first use. Not as sharp as described, an now useless.",2,https://images-na.ssl-images-amazon.com/images/I/61B4UxP7nBL.jpg,-,https://www.amazon.com/gp/customer-reviews/RCZE19436HHQO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on December 13, 2019",Becky Becky ,yes,yes,They broke.,"I bought these in August 2019; three and a half months later - it just broke. The handle fell apart. They're supposed to have a lifetime warranty, so we'll see if they get replaced...but in the meantime, it's a great day for an impeachment. And Epstein didn't kill himself.",2,https://images-na.ssl-images-amazon.com/images/I/81Z72BvBFWL.jpg,-,https://www.amazon.com/gp/customer-reviews/R21I9JWXJ49VDI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 27, 2019",E-FeeE-Fee,yes,yes,Really good scissors. But don't last long,Bought these late July to replace 10 year old scissors. Well they lasted two months at most. But they did actually work better than the ones they replaced.,2,https://images-na.ssl-images-amazon.com/images/I/71m8Jj40NtL.jpg,-,https://www.amazon.com/gp/customer-reviews/RIVU1ZIFMGW6F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 11, 2019",E.M.E.M.,yes,yes,"Stays sharp, inexpensive, handle will not last.","These were great for the price until they weren’t. The plastic of the handle disintegrated. I mean, I’ve got cheap Fiskars scissors from 30 years ago that are still going strong except for being a little dull but these just gave up the ghost in no time at all.",2,https://images-na.ssl-images-amazon.com/images/I/81c4ap99VWL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3FERVU3AI9WZR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on May 20, 2019",tvstvs,yes,yes,Plastic handles cracked,"Pros: Comfortable grip, sharp enough blades for everyday cutting tasks.Cons: I've had mine 8 months, use them regularly (but not a ton) and the handle has cracked. The crack is progressing...Takeaway: Cheap construction. I would not purchase these again.",2,https://images-na.ssl-images-amazon.com/images/I/81mB0kOCqIL.jpg,-,https://www.amazon.com/gp/customer-reviews/RHJLG0JXFLY65/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on September 19, 2023",Michael VelazquezMichael Velazquez,yes,yes,Quality Control Lacking,The pair of scissors I received were defective. The handle appeared to have been melted some how.,3,"https://m.media-amazon.com/images/I/71Mq0KZ247L.jpg , https://m.media-amazon.com/images/I/71ex8kKE0hL.jpg",-,https://www.amazon.com/gp/customer-reviews/R373V2377NDMRN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 10, 2024",Ambitionkey2Ambitionkey2,yes,yes,Best Scissors Around!,"After many years of using my grandparents old scissors, they finally broke one day! I went on Amazon and looked up durable scissors and came about this product so I ordered it. Come to find out it comes with a pair of scissors instead of just one.The fit was amazing on the hands. I loved the color of the scissors as well. I have used these scissors to cut open boxes, some food items and etc. They have been amazing and very sharp to get the job done.Highly recommend to anyone looking for durable scissors.Link to purchase: https://amzn.to/3Wf1A4v",5,https://m.media-amazon.com/images/I/81sMKEw1X+L.jpg,-,https://www.amazon.com/gp/customer-reviews/R12X1Y9EBBQHZF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
